Accepted name (dwc:acceptedNameUsage),Conservation code (dwc:threatStatus),Kingdom (dwc:kingdom),Phylum (dwc:phylum),Class (dwc:class),Order (dwc:order),Family (dwc:family),Native/introduced/feral (dwc:establishmentMeans),Search Area,Search Parameters
"Anilios grypus (Waite, 1918)",,Animalia,Chordata,Reptilia,Squamata,Typhlopidae,native,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
"Anilios pilbarensis (Aplin & Donnellan, 1993)",,Animalia,Chordata,Reptilia,Squamata,Typhlopidae,native,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
"Anomotarus (Anomotarus) nitidior Baehr, 2006",,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
"Antaresia perthensis (Stull, 1932)",,Animalia,Chordata,Reptilia,Squamata,Pythonidae,native,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
"Antaresia stimsoni (Smith, 1985)",,Animalia,Chordata,Reptilia,Squamata,Pythonidae,native,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
"Antechinomys longicaudatus (Spencer, 1909)",P4,Animalia,Chordata,Mammalia,Dasyuromorphia,Dasyuridae,,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
"Anthus australis Vieillot, 1818",,Animalia,Chordata,Aves,Passeriformes,Motacillidae,native,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
"Antichiropus Attems, 1911",,Animalia,Arthropoda,Diplopoda,Polydesmida,Paradoxosomatidae,,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
"Antichiropus patriciae Car, 2019",,Animalia,Arthropoda,Diplopoda,Polydesmida,Paradoxosomatidae,,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
"Aquila audax (Latham, 1802)",,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,native,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
Arachnida,,Animalia,Arthropoda,Arachnida,,,,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
Araneomorphae,,Animalia,Arthropoda,Arachnida,Araneae,,,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
"Ardea alba modesta JE Gray, 1831",,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,native,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
"Ardea modesta J.E. Gray, 1831",,Animalia,,,,,native,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
"Ardea pacifica Latham, 1802",,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,native,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
"Ardeotis australis (J.E. Gray, 1829)",,Animalia,Chordata,Aves,Otidiformes,Otididae,native,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
"Areacandona akatallele Karanovic, 2007",,Animalia,Arthropoda,Ostracoda,Podocopida,Candonidae,,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
Aristida burbidgeae B.K.Simon,,Plantae,,Liliopsida,Poales,Poaceae,native,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
Aristida calycina R.Br.,Parent of conservation listed taxa,Plantae,,Liliopsida,Poales,Poaceae Barnhart,native,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
Aristida contorta F.Muell.,,Plantae,,Liliopsida,Poales,Poaceae,native,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
Aristida holathera Domin var. holathera,,Plantae,,Liliopsida,Poales,Poaceae,native,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
Aristida latifolia Domin,,Plantae,,Liliopsida,Poales,Poaceae,native,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
Arivela uncifera (Kers) R.L.Barrett,,Plantae,,Magnoliopsida,Brassicales,Cleomaceae,native,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
Arivela viscosa (L.) Raf.,,Plantae,,Magnoliopsida,Brassicales,Cleomaceae,native,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
"Artamus cinereus Vieillot, 1817",,Animalia,Chordata,Aves,Passeriformes,Artamidae,native,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
"Artamus cyanopterus (Latham, 1802)",,Animalia,Chordata,Aves,Passeriformes,Artamidae,native,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
"Artamus leucorynchus (Linnaeus, 1771)",,Animalia,Chordata,Aves,Passeriformes,Artamidae,native,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
"Artamus minor Vieillot, 1817",,Animalia,Chordata,Aves,Passeriformes,Artamidae,native,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
"Artamus personatus (Gould, 1841)",,Animalia,Chordata,Aves,Passeriformes,Artamidae,native,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
"Asadipus banjiwarn Platnick, 2000",,Animalia,Arthropoda,Arachnida,Araneae,Lamponidae,,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
"Asadipus barlee Platnick, 2000",,Animalia,Arthropoda,Arachnida,Araneae,Lamponidae,,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
"Asadipus cape Platnick, 2000",,Animalia,Arthropoda,Arachnida,Araneae,Lamponidae,,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
"Asianopis schomburgki (Karsch, 1878)",,Animalia,Arthropoda,Arachnida,Araneae,Deinopidae,mixed,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
"Aspidites melanocephalus (Krefft, 1864)",,Animalia,Chordata,Reptilia,Squamata,Pythonidae,native,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
"Assamiidae Sørensen, 1884",,Animalia,Arthropoda,Arachnida,Opiliones,Assamiidae,,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
"Asteron Jocqué, 1991",,Animalia,Arthropoda,Arachnida,Araneae,Zodariidae,,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
"Atopobathynella Schminke, 1973",,Animalia,Arthropoda,Malacostraca,Bathynellacea,Parabathynellidae,,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
"Austrochthonius J.C. Chamberlin, 1929",,Animalia,Arthropoda,Arachnida,Pseudoscorpiones,Chthoniidae,,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
"Austrohorus Beier, 1966",,Animalia,Arthropoda,Arachnida,Pseudoscorpiones,Olpiidae,,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
"Aythya australis (Eyton, 1838)",,Animalia,Chordata,Aves,Anseriformes,Anatidae,native,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
Baetidae,,Animalia,Arthropoda,Insecta,Ephemeroptera,Baetidae,,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
"Barnardius zonarius (Shaw, 1805)",,Animalia,Chordata,Aves,Psittaciformes,Psittaculidae,,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
"Barnardius zonarius zonarius (Gray & Shaw, 1805)",,Animalia,Chordata,Aves,Psittaciformes,Psittaculidae,,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
"Barychelidae Simon, 1892",,Animalia,Arthropoda,Arachnida,Araneae,Barychelidae,,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
"Beierolpium Heurtault, 1976",,Animalia,Arthropoda,Arachnida,Pseudoscorpiones,Olpiidae,,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
Bergia ammannioides Roxb.,,Plantae,,Magnoliopsida,Malpighiales,Elatinaceae,native,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
"Blackburnium Boucomont, 1911",,Animalia,Arthropoda,Insecta,Coleoptera,Bolboceratidae,native,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
Boerhavia coccinea Mill.,,Plantae,,Magnoliopsida,Caryophyllales,Nyctaginaceae,mixed,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
"Bolboleaus truncatus (Blackburn, 1904)",,Animalia,,,,,,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
Bonamia erecta R.W.Johnson,,Plantae,,Magnoliopsida,Solanales,Convolvulaceae,native,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
Bonamia linearis (R.Br.) Hallier f.,,Plantae,,Magnoliopsida,Solanales,Convolvulaceae,native,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
Bonamia pilbarensis R.W.Johnson,,Plantae,,Magnoliopsida,Solanales,Convolvulaceae,native,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
"Boreosaragus Matthews, 1993",,Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,mixed,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
"Bos primigenius taurus Linnaeus & Raffles, 1758",,Animalia,,,,,alien,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
"Brachyurophis approximans (Glauert, 1954)",,Animalia,Chordata,Reptilia,Squamata,Elapidae,native,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
"Brachyurophis fasciolatus (Gunther, 1872)",,Animalia,Chordata,Reptilia,Squamata,Elapidae,native,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
"Buddelundia Michaelsen, 1912",,Animalia,Arthropoda,Malacostraca,Isopoda,Armadillidae,,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
Bulbostylis barbata (Rottb.) C.B.Clarke,,Plantae,,Liliopsida,Poales,Cyperaceae,native,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
Bulbostylis burbidgeae K.L.Wilson,P4,Plantae,,Liliopsida,Poales,Cyperaceae,native,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
"Burhinus grallarius (Latham, 1802)",,Animalia,Chordata,Aves,Charadriiformes,Burhinidae,native,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
Byblis filifolia Planch.,,Plantae,,Magnoliopsida,Lamiales,Byblidaceae,native,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
Byblis pilbarana Lowrie & Conran,,Plantae,,Magnoliopsida,Lamiales,Byblidaceae,native,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
"Cacatua roseicapilla Vieillot, 1817",,Animalia,Chordata,Aves,Psittaciformes,Cacatuidae,native,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
"Cacatua sanguinea Gould, 1843",,Animalia,Chordata,Aves,Psittaciformes,Cacatuidae,native,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
"Caedius Blanchard, 1845",,Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,uncertain,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
Caenidae,,Animalia,Arthropoda,Insecta,Ephemeroptera,Caenidae,,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
Cajanus cinereus (Benth.) F.Muell.,,Plantae,,Magnoliopsida,Fabales,Fabaceae,native,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
Calandrinia pentavalvis Obbens,,Plantae,,,,,native,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
Calandrinia tepperiana W.Fitzg.,,Plantae,,,,,native,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
Calotropis procera (Aiton) W.T.Aiton,,Plantae,,Magnoliopsida,Gentianales,Apocynaceae,alien,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
"Canis familiaris L., 1758",,Animalia,Chordata,Mammalia,Carnivora,Canidae,alien,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
"Carenum Bonelli, 1813",,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
"Carenum pulchrum Sloane, 1897",,Animalia,,,,,,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
"Carlia munda (De Vis, 1885)",,Animalia,Chordata,Reptilia,Squamata,Scincidae,native,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
"Carlia triacantha (Mitchell, 1953)",,Animalia,Chordata,Reptilia,Squamata,Scincidae,native,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
Cassytha capillaris Meisn.,,Plantae,,Magnoliopsida,Laurales,Lauraceae,native,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
Cassytha filiformis L.,,Plantae,,Magnoliopsida,Laurales,Lauraceae,native,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
"Cavisternum clavatum Baehr, Harvey & Smith, 2010",,Animalia,,,,,,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
Cenchrus ciliaris L.,,Plantae,,Liliopsida,Poales,Poaceae,alien,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
Centipeda minima (L.) A.Braun & Asch.,,Plantae,,Magnoliopsida,Asterales,Asteraceae,native,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
"Ceratopogonidae Newman, 1834",,Animalia,Arthropoda,Insecta,Diptera,Ceratopogonidae,,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
"Certhionyx variegatus Lesson, 1830",,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,native,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
"Chaerephon jobensis (Miller, 1902)",,Animalia,Chordata,Mammalia,Chiroptera,Molossidae,native,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
"Chaerephon jobensis colonicus (Miller, 1902)",,Animalia,Chordata,Mammalia,Chiroptera,Molossidae,native,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
"Chalcites basalis (Horsfield, 1821)",,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,native,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
"Chalinolobus gouldii (Gray, 1841)",,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,native,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
"Charadrius veredus Gould, 1848",MI,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,native,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
Cheilanthes contigua Baker,,Plantae,,Pteridopsida,Polypodiales,Pteridaceae,native,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
Cheilanthes sieberi Kunze subsp. sieberi,,Plantae,,Pteridopsida,Polypodiales,Pteridaceae,native,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
"Cheiridiinae Hansen, 1893",,Animalia,Arthropoda,Arachnida,Pseudoscorpiones,Cheiridiidae,,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
"Chelodina steindachneri Siebenrock, 1901",,Animalia,Chordata,Reptilia,Testudines,Chelidae,native,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
"Chilibathynella Noodt, 1963",,Animalia,Arthropoda,Malacostraca,Bathynellacea,Parabathynellidae,,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
"Chilopoda Latreille, 1817",,Animalia,Arthropoda,Chilopoda,,,,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
Chironominae,,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
"Chrysococcyx basalis (Horsfield, 1821)",,,,,,,,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
Chrysopogon fallax S.T.Blake,,Plantae,,Liliopsida,Poales,Poaceae,native,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
"Cincloramphus cruralis (Vigors & Horsfield, 1827)",,Animalia,Chordata,Aves,Passeriformes,Sylviidae,native,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
"Cincloramphus mathewsi Iredale, 1911",,Animalia,Chordata,Aves,Passeriformes,Sylviidae,native,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
Circus,,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
"Circus assimilis Jardine & Selby, 1828",,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,native,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
Clerodendrum tomentosum (Vent.) R.Br.,,Plantae,,Magnoliopsida,Lamiales,Lamiaceae,native,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
Clerodendrum tomentosum (Vent.) R.Br. var. tomentosum,,Plantae,,Magnoliopsida,Lamiales,Lamiaceae,native,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
"Clivina Latreille, 1802",,Animalia,,,,,,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
Codonocarpus cotinifolius (Desf.) F.Muell.,,Plantae,,Magnoliopsida,Brassicales,Gyrostemonaceae,native,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
Coenagrionidae,,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
Coleoptera,,Animalia,Arthropoda,Insecta,Coleoptera,,,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
Collembola,,Animalia,Arthropoda,Entognatha,Collembola,,,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
"Colluricincla harmonica (Latham, 1802)",,Animalia,Chordata,Aves,Passeriformes,Pachycephalidae,native,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
"Conopterum pyripenne Sloane, 1900",,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,native,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
"Coptotermes acinaciformis (Froggatt, 1898)",,Animalia,,,,,,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
"Coracina novaehollandiae (Gmelin, 1789)",,Animalia,Chordata,Aves,Passeriformes,Campephagidae,native,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
"Coracina novaehollandiae subpallida Mathews, 1912",,Animalia,Chordata,Aves,Passeriformes,Campephagidae,native,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
Corchorus carnarvonensis Halford,,Plantae,,Magnoliopsida,Malvales,Malvaceae,native,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
Corchorus incanus Halford subsp. incanus,,Plantae,,Magnoliopsida,Malvales,Malvaceae,native,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
Corchorus laniflorus Rye,,Plantae,,Magnoliopsida,Malvales,Malvaceae,native,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
Corchorus lasiocarpus Halford subsp. lasiocarpus,,Plantae,,Magnoliopsida,Malvales,Malvaceae,native,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
Corchorus parviflorus (Benth.) Domin,,Plantae,,Magnoliopsida,Malvales,Malvaceae,native,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
Corchorus tridens L.,,Plantae,,Magnoliopsida,Malvales,Malvaceae,native,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
Corduliidae,,Animalia,Arthropoda,Insecta,Odonata,Corduliidae,,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
Corixidae,,Animalia,Arthropoda,Insecta,Hemiptera,Corixidae,,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
"Corvus bennetti North, 1901",,Animalia,Chordata,Aves,Passeriformes,Corvidae,native,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
"Corvus orru Bonaparte, 1850",,Animalia,Chordata,Aves,Passeriformes,Corvidae,native,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
Corymbia candida K.D.Hill & L.A.S.Johnson,,Plantae,,Magnoliopsida,Myrtales,Myrtaceae,native,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
Corymbia deserticola (D.J.Carr & S.G.M.Carr) K.D.Hill & L.A.S.Johnson,,Plantae,,Magnoliopsida,Myrtales,Myrtaceae,native,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
Corymbia hamersleyana (D.J.Carr & S.G.M.Carr) K.D.Hill & L.A.S.Johnson,,Plantae,,Magnoliopsida,Myrtales,Myrtaceae,native,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
Corymbia terminalis (F.Muell.) K.D.Hill & L.A.S.Johnson,,Plantae,,Magnoliopsida,Myrtales,Myrtaceae Juss.,,"User defined circle: [[118.6764, -21.1746]] 20.0 km.",
